dbegin	dend	mid	year	month	day	doy	ingrow
1998-04-01 09:12:02	1998-04-10 23:11:56	1998-04-06 04:11:59	1998	4	6	96	1
1998-04-10 23:11:56	1998-04-20 22:10:14	1998-04-15 22:41:05	1998	4	15	105	1
1998-04-20 22:09:04	1998-04-30 20:04:47	1998-04-25 21:06:55	1998	4	25	115	1
1998-05-01 01:09:11	1998-05-10 23:39:03	1998-05-06 00:24:07	1998	5	6	126	1
1998-05-10 23:35:33	1998-05-20 23:46:51	1998-05-15 23:41:12	1998	5	15	135	1
1998-05-20 22:32:23	1998-05-31 23:35:12	1998-05-26 11:03:47	1998	5	26	146	1
1998-05-31 23:31:42	1998-06-10 23:39:38	1998-06-05 23:35:40	1998	6	5	156	1
1998-06-10 23:39:38	1998-06-20 23:47:33	1998-06-15 23:43:35	1998	6	15	166	1
1998-06-20 22:06:06	1998-06-30 23:55:27	1998-06-25 23:00:46	1998	6	25	176	1
1998-06-30 22:14:00	1998-07-11 00:01:40	1998-07-05 23:07:50	1998	7	5	186	1
1998-07-11 00:01:40	1998-07-21 00:11:11	1998-07-16 00:06:25	1998	7	16	197	1
1998-07-20 21:19:56	1998-07-31 23:59:31	1998-07-26 10:39:43	1998	7	26	207	1
1998-07-31 23:59:31	1998-08-11 00:07:20	1998-08-06 00:03:25	1998	8	6	218	1
1998-08-10 22:25:52	1998-08-21 00:19:18	1998-08-15 23:22:35	1998	8	15	227	1
1998-08-20 21:23:42	1998-09-01 00:03:23	1998-08-26 10:43:32	1998	8	26	238	1
1998-09-01 00:03:23	1998-09-11 00:11:17	1998-09-06 00:07:20	1998	9	6	249	1
1998-09-10 21:20:01	1998-09-21 00:19:08	1998-09-15 22:49:34	1998	9	15	258	1
1998-09-20 21:27:43	1998-10-02 00:07:29	1998-09-26 10:47:36	1998	9	26	269	1
1998-09-30 21:35:13	1998-10-12 00:15:18	1998-10-06 10:55:15	1998	10	6	279	1
1998-10-11 00:34:48	1998-10-21 00:42:45	1998-10-16 00:38:46	1998	10	16	289	1
1998-10-20 21:45:10	1998-11-01 00:32:12	1998-10-26 11:08:41	1998	10	26	299	1
1998-11-01 00:32:12	1998-11-11 00:40:54	1998-11-06 00:36:33	1998	11	6	310	0
1998-11-10 21:46:58	1998-11-22 00:30:01	1998-11-16 11:08:29	1998	11	16	320	0
1998-11-21 00:49:33	1998-12-01 19:34:04	1998-11-26 10:11:48	1998	11	26	330	0
1998-12-01 00:57:49	1998-12-11 18:00:41	1998-12-06 09:29:15	1998	12	6	340	0
1998-12-11 01:06:03	1998-12-20 23:32:35	1998-12-16 00:19:19	1998	12	16	350	0
1998-12-20 23:32:35	1998-12-31 18:16:21	1998-12-26 08:54:28	1998	12	26	360	0
1999-01-01 01:02:12	1999-01-10 23:28:10	1999-01-06 00:15:11	1999	1	6	6	0
1999-01-10 23:28:10	1999-01-21 19:52:59	1999-01-16 09:40:34	1999	1	16	16	0
1999-01-21 01:16:53	1999-01-31 19:59:51	1999-01-26 10:38:22	1999	1	26	26	0
1999-02-01 01:04:14	1999-02-10 20:06:38	1999-02-05 22:35:26	1999	2	5	36	0
1999-02-11 01:11:01	1999-02-20 23:39:33	1999-02-16 00:25:16	1999	2	16	47	0
1999-02-20 23:36:23	1999-03-01 00:22:52	1999-02-24 23:59:37	1999	2	24	55	0
1999-03-01 00:22:52	1999-03-10 14:38:49	1999-03-05 19:30:50	1999	3	5	64	0
1999-03-12 06:56:57	1999-03-21 00:38:19	1999-03-16 15:47:38	1999	3	16	75	0
1999-03-21 00:38:19	1999-04-01 00:26:27	1999-03-26 12:32:23	1999	3	26	85	0
1999-03-31 21:34:51	1999-04-11 00:34:08	1999-04-05 23:04:29	1999	4	5	95	1
1999-04-10 21:42:22	1999-04-21 00:41:54	1999-04-15 23:12:08	1999	4	15	105	1
1999-04-20 21:49:58	1999-04-30 23:08:10	1999-04-25 22:29:04	1999	4	25	115	1
1999-04-30 21:57:42	1999-05-10 23:15:54	1999-05-05 22:36:48	1999	5	5	125	1
1999-05-10 22:05:16	1999-05-20 23:27:03	1999-05-15 22:46:09	1999	5	15	135	1
1999-05-20 22:12:16	1999-05-31 23:11:40	1999-05-26 10:41:58	1999	5	26	146	1
1999-05-31 22:00:42	1999-06-12 00:41:22	1999-06-06 11:21:02	1999	6	6	157	1
1999-06-10 22:08:19	1999-06-21 23:07:39	1999-06-16 10:37:59	1999	6	16	167	1
1999-06-20 22:10:32	1999-07-01 23:15:21	1999-06-26 10:42:56	1999	6	26	177	1
1999-06-30 22:18:14	1999-07-10 23:46:00	1999-07-05 23:02:07	1999	7	5	186	1
1999-07-10 22:25:43	1999-07-20 23:53:42	1999-07-15 23:09:42	1999	7	15	196	1
1999-07-20 22:08:44	1999-07-31 23:38:49	1999-07-26 10:53:46	1999	7	26	207	1
1999-07-31 22:21:41	1999-08-11 23:30:13	1999-08-06 10:55:56	1999	8	6	218	1
1999-08-10 22:04:46	1999-08-21 23:37:51	1999-08-16 10:51:18	1999	8	16	228	1
1999-08-20 22:12:25	1999-08-31 23:45:31	1999-08-26 10:58:58	1999	8	26	238	1
1999-08-31 22:25:13	1999-09-10 23:53:15	1999-09-05 23:09:13	1999	9	5	248	1
1999-09-10 22:08:17	1999-09-20 23:57:51	1999-09-15 23:03:04	1999	9	15	258	1
1999-09-20 22:16:14	1999-10-01 00:05:48	1999-09-25 23:11:01	1999	9	25	268	1
1999-09-30 22:24:10	1999-10-11 00:13:40	1999-10-05 23:18:55	1999	10	5	278	1
1999-10-10 21:22:04	1999-10-21 00:21:31	1999-10-15 22:51:47	1999	10	15	288	1
1999-10-20 21:29:45	1999-11-01 00:11:10	1999-10-26 10:50:27	1999	10	26	299	1
1999-10-31 22:29:42	1999-11-12 00:00:36	1999-11-06 11:15:09	1999	11	6	310	0
1999-11-10 21:26:21	1999-11-22 00:09:06	1999-11-16 10:47:43	1999	11	16	320	0
1999-11-20 21:33:50	1999-11-30 21:41:30	1999-11-25 21:37:40	1999	11	25	329	0
1999-11-30 21:41:30	1999-12-12 00:26:00	1999-12-06 11:03:45	1999	12	6	340	0
1999-12-11 00:45:29	1999-12-20 19:49:07	1999-12-15 22:17:17	1999	12	15	349	0
1999-12-21 00:53:31	1999-12-31 19:37:30	1999-12-26 10:15:30	1999	12	26	360	0
2000-01-01 00:41:54	2000-01-12 00:30:05	2000-01-06 12:35:59	2000	1	6	6	0
2000-01-10 21:53:29	2000-01-22 00:37:27	2000-01-16 11:15:28	2000	1	16	16	0
2000-01-21 00:56:58	2000-02-01 00:44:26	2000-01-26 12:50:42	2000	1	26	26	0
2000-01-31 21:49:50	2000-02-12 00:31:40	2000-02-06 11:10:45	2000	2	6	37	0
2000-02-10 21:57:25	2000-02-20 19:53:38	2000-02-15 20:55:31	2000	2	15	46	0
2000-02-21 00:58:02	2000-02-29 23:43:41	2000-02-25 12:20:51	2000	2	25	56	0
2000-02-29 22:26:53	2000-03-10 23:51:32	2000-03-05 23:09:12	2000	3	5	65	0
2000-03-11 00:12:42	2000-03-20 23:59:15	2000-03-16 00:05:58	2000	3	16	76	0
2000-03-20 22:17:47	2000-03-31 23:47:42	2000-03-26 11:02:44	2000	3	26	86	0
2000-03-31 22:06:14	2000-04-10 23:55:29	2000-04-05 23:00:51	2000	4	5	96	1
2000-04-10 22:14:02	2000-04-21 23:47:21	2000-04-16 11:00:41	2000	4	16	107	1
2000-04-21 00:03:32	2000-05-01 00:11:24	2000-04-26 00:07:28	2000	4	26	117	1
2000-04-30 22:29:45	2000-05-11 00:19:01	2000-05-05 23:24:23	2000	5	5	126	1
2000-05-10 21:27:36	2000-05-21 00:30:23	2000-05-15 22:58:59	2000	5	15	136	1
2000-05-20 21:34:58	2000-06-01 00:15:20	2000-05-26 10:55:09	2000	5	26	147	1
2000-05-31 21:23:43	2000-06-12 00:03:43	2000-06-06 10:43:43	2000	6	6	158	1
2000-06-10 21:31:28	2000-06-22 00:11:28	2000-06-16 10:51:28	2000	6	16	168	1
2000-06-20 21:38:44	2000-07-02 00:18:59	2000-06-26 10:58:51	2000	6	26	178	1
2000-06-30 21:46:15	2000-07-12 00:26:50	2000-07-06 11:06:32	2000	7	6	188	1
2000-07-10 21:54:06	2000-07-22 00:34:41	2000-07-16 11:14:23	2000	7	16	198	1
2000-07-20 22:01:46	2000-07-31 01:24:56	2000-07-25 23:43:21	2000	7	25	207	1
2000-08-01 01:03:25	2000-08-12 00:30:45	2000-08-06 12:47:05	2000	8	6	219	1
2000-08-10 21:58:00	2000-08-20 23:16:38	2000-08-15 22:37:19	2000	8	15	228	1
2000-08-20 22:05:40	2000-08-31 23:04:54	2000-08-26 10:35:17	2000	8	26	239	1
2000-08-31 21:54:07	2000-09-10 23:12:38	2000-09-05 22:33:22	2000	9	5	249	1
2000-09-10 22:01:50	2000-09-20 23:20:27	2000-09-15 22:41:08	2000	9	15	259	1
2000-09-20 22:09:29	2000-09-30 23:28:46	2000-09-25 22:49:07	2000	9	25	269	1
2000-09-30 22:17:08	2000-10-10 23:36:30	2000-10-05 22:56:49	2000	10	5	279	1
2000-10-10 22:19:32	2000-10-20 23:44:14	2000-10-15 23:01:53	2000	10	15	289	1
2000-10-20 22:27:06	2000-10-31 23:35:48	2000-10-26 11:01:27	2000	10	26	300	1
2000-10-31 22:15:39	2000-11-10 23:42:13	2000-11-05 22:58:56	2000	11	5	310	0
2000-11-10 22:23:16	2000-11-21 23:31:00	2000-11-16 10:57:08	2000	11	16	321	0
