t,site,y,qc,QC_flag,w
1982-01-08,52737,0.0758,2,cloud,0.2
1982-01-08,52749,0.2127,2,cloud,0.2
1982-01-08,52765,0.164,2,cloud,0.2
1982-01-08,52818,0.1067,2,cloud,0.2
1982-01-08,52825,0.0737,2,cloud,0.2
1982-01-08,52836,0.0963,2,cloud,0.2
1982-01-08,52853,0.1829,2,cloud,0.2
1982-01-08,52855,0.2502,2,cloud,0.2
1982-01-08,52856,0.1011,2,cloud,0.2
1982-01-08,52863,0.1465,2,cloud,0.2
1982-01-08,52868,0.1748,2,cloud,0.2
1982-01-08,52943,0.1697,2,cloud,0.2
1982-01-08,52957,0.2056,2,cloud,0.2
1982-01-08,55578,0.0905,2,cloud,0.2
1982-01-08,55591,0.1576,2,cloud,0.2
1982-01-08,55598,0.1471,2,cloud,0.2
1982-01-08,56021,0.208,2,cloud,0.2
1982-01-08,56029,0.2037,2,cloud,0.2
1982-01-08,56038,0.2304,2,cloud,0.2
1982-01-08,56045,0.222,2,cloud,0.2
1982-01-08,56065,0.239,2,cloud,0.2
1982-01-08,56074,0.2731,2,cloud,0.2
1982-01-08,56079,0.2938,2,cloud,0.2
1982-01-08,56080,0.2651,2,cloud,0.2
1982-01-08,56081,0.184,2,cloud,0.2
1982-01-08,56357,0.2654,2,cloud,0.2
1982-01-24,52737,0.0788,2,cloud,0.2
1982-01-24,52749,0.2127,2,cloud,0.2
1982-01-24,52765,0.1662,2,cloud,0.2
1982-01-24,52818,0.1077,2,cloud,0.2
1982-01-24,52825,0.0733,2,cloud,0.2
1982-01-24,52836,0.0989,2,cloud,0.2
1982-01-24,52853,0.1856,2,cloud,0.2
1982-01-24,52855,0.259,2,cloud,0.2
1982-01-24,52856,0.1098,2,cloud,0.2
1982-01-24,52863,0.1465,2,cloud,0.2
1982-01-24,52868,0.1708,2,cloud,0.2
1982-01-24,52943,0.168,2,cloud,0.2
1982-01-24,52957,0.2031,2,cloud,0.2
1982-01-24,55578,0.0968,2,cloud,0.2
1982-01-24,55591,0.1535,2,cloud,0.2
1982-01-24,55598,0.1387,2,cloud,0.2
1982-01-24,56021,0.2236,2,cloud,0.2
1982-01-24,56029,0.2279,2,cloud,0.2
1982-01-24,56038,0.2519,2,cloud,0.2
1982-01-24,56045,0.2372,2,cloud,0.2
1982-01-24,56065,0.2453,2,cloud,0.2
1982-01-24,56074,0.276,2,cloud,0.2
1982-01-24,56079,0.3006,2,cloud,0.2
1982-01-24,56080,0.2735,2,cloud,0.2
1982-01-24,56081,0.199,2,cloud,0.2
1982-01-24,56357,0.2822,2,cloud,0.2
1982-02-08,52737,0.0488,2,cloud,0.2
1982-02-08,52749,0.181,2,cloud,0.2
1982-02-08,52765,0.1162,2,cloud,0.2
1982-02-08,52818,0.0867,2,cloud,0.2
1982-02-08,52825,0.0716,2,cloud,0.2
1982-02-08,52836,0.0701,2,cloud,0.2
1982-02-08,52853,0.1389,2,cloud,0.2
1982-02-08,52855,0.2095,2,cloud,0.2
1982-02-08,52856,0.103,2,cloud,0.2
1982-02-08,52863,0.1091,2,cloud,0.2
1982-02-08,52868,0.1555,2,cloud,0.2
1982-02-08,52943,0.1658,2,cloud,0.2
1982-02-08,52957,0.2074,2,cloud,0.2
1982-02-08,55578,0.0979,2,cloud,0.2
1982-02-08,55591,0.1092,2,cloud,0.2
1982-02-08,55598,0.1213,2,cloud,0.2
1982-02-08,56021,0.118,2,cloud,0.2
1982-02-08,56029,0.2052,2,cloud,0.2
1982-02-08,56038,0.2349,2,cloud,0.2
1982-02-08,56045,0.1804,2,cloud,0.2
1982-02-08,56065,0.2312,2,cloud,0.2
1982-02-08,56074,0.2554,2,cloud,0.2
1982-02-08,56079,0.2613,2,cloud,0.2
1982-02-08,56080,0.2672,2,cloud,0.2
1982-02-08,56081,0.2237,2,cloud,0.2
1982-02-08,56357,0.241,2,cloud,0.2
1982-02-22,52737,0.0688,2,cloud,0.2
1982-02-22,52749,0.2019,2,cloud,0.2
1982-02-22,52765,0.1683,2,cloud,0.2
1982-02-22,52818,0.0847,2,cloud,0.2
1982-02-22,52825,0.0798,2,cloud,0.2
1982-02-22,52836,0.0666,2,cloud,0.2
1982-02-22,52853,0.1687,2,cloud,0.2
1982-02-22,52855,0.2454,2,cloud,0.2
1982-02-22,52856,0.1234,2,cloud,0.2
1982-02-22,52863,0.1282,2,cloud,0.2
1982-02-22,52868,0.152,0,good,0.8
1982-02-22,52943,0.1575,2,cloud,0.2
1982-02-22,52957,0.2018,2,cloud,0.2
1982-02-22,55578,0.0956,2,cloud,0.2
1982-02-22,55591,0.1624,0,good,0.8
1982-02-22,55598,0.1459,0,good,0.8
1982-02-22,56021,0.1282,2,cloud,0.2
1982-02-22,56029,0.1892,2,cloud,0.2
1982-02-22,56038,0.2385,2,cloud,0.2
1982-02-22,56045,0.1948,2,cloud,0.2
1982-02-22,56065,0.2265,2,cloud,0.2
1982-02-22,56074,0.2621,2,cloud,0.2
1982-02-22,56079,0.2802,2,cloud,0.2
1982-02-22,56080,0.2602,2,cloud,0.2
1982-02-22,56081,0.1457,2,cloud,0.2
1982-02-22,56357,0.257,2,cloud,0.2
1982-03-08,52737,0.0758,2,cloud,0.2
1982-03-08,52749,0.1971,2,cloud,0.2
1982-03-08,52765,0.1119,2,cloud,0.2
1982-03-08,52818,0.0997,2,cloud,0.2
1982-03-08,52825,0.0803,2,cloud,0.2
1982-03-08,52836,0.0736,2,cloud,0.2
1982-03-08,52853,0.1816,2,cloud,0.2
1982-03-08,52855,0.2502,2,cloud,0.2
1982-03-08,52856,0.1283,2,cloud,0.2
1982-03-08,52863,0.1465,2,cloud,0.2
1982-03-08,52868,0.1573,0,good,0.8
1982-03-08,52943,0.1545,2,cloud,0.2
1982-03-08,52957,0.1912,2,cloud,0.2
1982-03-08,55578,0.0928,2,cloud,0.2
1982-03-08,55591,0.1535,0,good,0.8
1982-03-08,55598,0.1279,0,good,0.8
1982-03-08,56021,0.183,2,cloud,0.2
1982-03-08,56029,0.1854,2,cloud,0.2
1982-03-08,56038,0.2653,2,cloud,0.2
1982-03-08,56045,0.1491,2,cloud,0.2
1982-03-08,56065,0.2132,2,cloud,0.2
1982-03-08,56074,0.2598,2,cloud,0.2
1982-03-08,56079,0.2432,2,cloud,0.2
1982-03-08,56080,0.2294,2,cloud,0.2
1982-03-08,56081,0.1477,2,cloud,0.2
1982-03-08,56357,0.2452,2,cloud,0.2
1982-03-24,52737,0.0698,0,good,0.8
1982-03-24,52749,0.1881,0,good,0.8
1982-03-24,52765,0.143,0,good,0.8
1982-03-24,52818,0.0947,0,good,0.8
1982-03-24,52825,0.0759,0,good,0.8
1982-03-24,52836,0.0683,0,good,0.8
1982-03-24,52853,0.185,0,good,0.8
1982-03-24,52855,0.2566,0,good,0.8
1982-03-24,52856,0.1186,0,good,0.8
1982-03-24,52863,0.1522,0,good,0.8
1982-03-24,52868,0.159,0,good,0.8
1982-03-24,52943,0.1549,0,good,0.8
1982-03-24,52957,0.1912,0,good,0.8
1982-03-24,55578,0.1014,0,good,0.8
1982-03-24,55591,0.1821,0,good,0.8
1982-03-24,55598,0.1189,0,good,0.8
1982-03-24,56021,0.1715,2,cloud,0.2
1982-03-24,56029,0.1543,0,good,0.8
1982-03-24,56038,0.2733,2,cloud,0.2
1982-03-24,56045,0.2516,2,cloud,0.2
1982-03-24,56065,0.1998,0,good,0.8
1982-03-24,56074,0.2363,0,good,0.8
1982-03-24,56079,0.256,0,good,0.8
1982-03-24,56080,0.2266,0,good,0.8
1982-03-24,56081,0.1409,0,good,0.8
1982-03-24,56357,0.2327,0,good,0.8
1982-04-08,52737,0.0788,0,good,0.8
1982-04-08,52749,0.1744,0,good,0.8
1982-04-08,52765,0.1785,2,cloud,0.2
1982-04-08,52818,0.1077,0,good,0.8
1982-04-08,52825,0.0794,0,good,0.8
1982-04-08,52836,0.0692,0,good,0.8
1982-04-08,52853,0.1728,2,cloud,0.2
1982-04-08,52855,0.2151,0,good,0.8
1982-04-08,52856,0.1186,0,good,0.8
1982-04-08,52863,0.158,0,good,0.8
1982-04-08,52868,0.152,0,good,0.8
1982-04-08,52943,0.1588,0,good,0.8
1982-04-08,52957,0.1862,0,good,0.8
1982-04-08,55578,0.0916,0,good,0.8
1982-04-08,55591,0.1746,0,good,0.8
1982-04-08,55598,0.1483,0,good,0.8
1982-04-08,56021,0.1803,2,cloud,0.2
1982-04-08,56029,0.2166,0,good,0.8
1982-04-08,56038,0.2993,2,cloud,0.2
1982-04-08,56045,0.127,2,cloud,0.2
1982-04-08,56065,0.2375,2,cloud,0.2
1982-04-08,56074,0.2569,0,good,0.8
1982-04-08,56079,0.287,0,good,0.8
1982-04-08,56080,0.2392,0,good,0.8
1982-04-08,56081,0.1422,0,good,0.8
1982-04-08,56357,0.2385,0,good,0.8
1982-04-23,52737,0.0768,0,good,0.8
1982-04-23,52749,0.1863,0,good,0.8
1982-04-23,52765,0.1785,0,good,0.8
1982-04-23,52818,0.1287,0,good,0.8
