site,name,prov,lon,lat,info,longname,Id
52737,德令哈,青,97.37,37.37,春小麦22,[001]_52737_德令哈,1
52749,铁卜加,青,99.58,37.08,牧草4,[002]_52749_铁卜加,2
52765,门源,青,101.61,37.38,"油菜22, 青稞7",[003]_52765_门源,3
52818,格尔木,青,94.9,36.42,春小麦22,[004]_52818_格尔木,4
52825,诺木洪,青,96.41,36.43,春小麦19,[005]_52825_诺木洪,5
52836,都兰,青,98.1,36.3,春小麦22,[006]_52836_都兰,6
52853,海宴,青,100.98,36.92,牧草12,[007]_52853_海宴,7
52855,湟源,青,101.08,36.75,"春小麦22, 油菜10",[008]_52855_湟源,8
52856,共和,青,100.62,36.27,"春小麦22, 油菜22",[009]_52856_共和,9
52863,互助,青,101.95,36.82,春小麦22,[010]_52863_互助,10
52868,贵德,青,101.43,36.03,"春小麦9, 冬小麦17",[011]_52868_贵德,11
52943,兴海,青,99.98,35.58,牧草11,[012]_52943_兴海,12
52957,同德,青,100.65,35.27,牧草8,[013]_52957_同德,13
55578,日喀则,藏,88.88,29.25,"春小麦21, 青稞9",[014]_55578_日喀则,14
55591,拉萨,藏,91.13,29.67,"冬小麦19, 青稞9",[015]_55591_拉萨,15
55598,泽当,藏,91.76,29.25,冬小麦22,[016]_55598_泽当,16
56021,曲麻菜,青,95.78,34.13,牧草23,[017]_56021_曲麻菜,17
56029,玉树,青,97.02,33.02,"青稞8, 牧草5",[018]_56029_玉树,18
56038,石渠,川,98.1,32.98,牧草22,[019]_56038_石渠,19
56045,甘德,青,99.9,33.97,牧草22,[020]_56045_甘德,20
56065,河南,青,101.6,34.73,牧草22,[021]_56065_河南,21
56074,玛曲,甘,102.08,34,牧草23,[022]_56074_玛曲,22
56079,若尔盖,川,102.97,33.58,牧草22,[023]_56079_若尔盖,23
56080,合作,甘,102.9,35,"青稞11, 牧草11",[024]_56080_合作,24
56081,临潭,甘,103.35,34.7,春小麦11,[025]_56081_临潭,25
56357,稻城,川,100.3,29.05,青稞11,[028]_56357_稻城,28
